Movie Name,Actor Name
The Adventures of Rocky & Bullwinkle,Randy Quaid
The Adventures of Rocky & Bullwinkle,Ed Gale
The Adventures of Rocky & Bullwinkle,Kel Mitchell
Oblivion,Tom Cruise
Oblivion,Morgan Freeman
Oblivion,Olga Kurylenko
Oblivion,Andrea Riseborough
Oblivion,Nikolaj Coster-Waldau
The Last Song,Miley Cyrus
The Last Song,Greg Kinnear
The Last Song,Kelly Preston
Menace II Society,Tyrin Turner
Menace II Society,Jada Pinkett Smith
Menace II Society,Bill Duke
Menace II Society,Charles S. Dutton
Menace II Society,Larenz Tate
Heist,Gene Hackman
Heist,Danny De Vito
Heist,Delroy Lindo
Heist,Sam Rockwell
Heist,Rebecca Pidgeon
Bedtime Stories,Adam Sandler
Bedtime Stories,Keri Russell
Bedtime Stories,Guy Pearce
Bedtime Stories,Russell Brand
Bedtime Stories,Richard Griffiths
Losin' It,Tom Cruise
Losin' It,Jackie Earle Haley
Losin' It,John Stockwell
Losin' It,Shelley Long
Losin' It,"John P. Navin, Jr."
Brokedown Palace,Claire Danes
Brokedown Palace,Kate Beckinsale
Brokedown Palace,Bill Pullman
Brokedown Palace,Daniel Lapaine
Brokedown Palace,Jacqui Kim
Spider,Ralph Fiennes
Spider,Gabriel Byrne
Spider,Lynn Redgrave
Spider,Miranda Richardson
Spider,Philip Craig
Double Jeopardy,Tommy Lee Jones
Double Jeopardy,Ashley Judd
Double Jeopardy,Annabeth Gish
Double Jeopardy,Bruce Greenwood
Double Jeopardy,Spencer Treat Clark
Confessions of a Dangerous Mind,Drew Barrymore
Confessions of a Dangerous Mind,George Clooney
Confessions of a Dangerous Mind,Julia Roberts
Confessions of a Dangerous Mind,Sam Rockwell
Confessions of a Dangerous Mind,Rutger Hauer
3:10 to Yuma,Russell Crowe
3:10 to Yuma,Christian Bale
3:10 to Yuma,Peter Fonda
3:10 to Yuma,Gretchen Mol
3:10 to Yuma,Ben Foster
Armored,Matt Dillon
Armored,Jean Reno
Armored,Laurence Fishburne
Armored,Amaury Nolasco
Armored,Milo Ventimiglia
What Dreams May Come,Robin Williams
What Dreams May Come,"Cuba Gooding, Jr."
What Dreams May Come,Annabella Sciorra
What Dreams May Come,Max von Sydow
The Specialist,Sharon Stone
The Specialist,James Woods
The Specialist,Sylvester Stallone
The Specialist,Rod Steiger
The Specialist,Eric Roberts
Veronica Mars,Kristen Bell
Veronica Mars,Jason Dohring
Veronica Mars,Krysten Ritter
Veronica Mars,Ryan Hansen
Veronica Mars,Francis Capra
Harry Potter and the Order of the Phoenix,Daniel Radcliffe
Harry Potter and the Order of the Phoenix,Rupert Grint
Harry Potter and the Order of the Phoenix,Emma Watson
Harry Potter and the Order of the Phoenix,Helena Bonham Carter
Harry Potter and the Order of the Phoenix,Robbie Coltrane
The Fifth Estate,Benedict Cumberbatch
The Fifth Estate,Daniel Bruhl
The Fifth Estate,Anthony Mackie
The Fifth Estate,David Thewlis
